voter_id,name,surname,birthday,vote_datetime,polling_station,voted_for
1,Aram,Aslanyan,1964-09-03,2021-06-20 10:06:43,Ijevan #1,Civil Contract
2,Gevorg,Ohanyan,1942-11-07,2021-06-20 11:32:38,Yerevan-Kentron #4,Civil Contract
3,Davit,Babayan,2002-12-02,2021-06-20 11:37:17,Yerevan-Kentron #4,Armenia Alliance
4,Davit,Ohanyan,1970-07-11,2021-06-20 11:48:21,Yerevan-Arabkir #11,Civil Contract
5,Artur,Hakobyan,1972-03-16,2021-06-20 14:51:02,Kapan #2,Bright Armenia
6,Artur,Hovhannisyan,1989-07-11,2021-06-20 14:56:55,Echmiadzin #1,Civil Contract
7,Davit,Hovhannisyan,1944-02-10,2021-06-20 16:05:54,Gyumri #7,Armenia Alliance
8,Artur,Manukyan,1980-09-04,2021-06-20 12:23:22,Gyumri #7,Armenia Alliance
9,Marine,Tonoyan,1998-02-19,2021-06-20 14:34:46,Gyumri #7,Civil Contract
10,Ashot,Ghazaryan,1964-03-20,,,Did Not Vote
11,Gor,Stepanyan,1945-01-06,2021-06-20 08:20:25,Vanadzor #3,Civil Contract
12,Levon,Vardanyan,1968-03-25,2021-06-20 13:56:58,Kapan #2,Civil Contract
13,Vardan,Grigoryan,1962-02-15,2021-06-20 13:47:37,Abovyan #5,Armenia Alliance
14,Astghik,Karapetyan,1952-05-29,2021-06-20 09:03:55,Yerevan-Arabkir #11,Civil Contract
15,Nikol,Khachatryan,2001-01-18,2021-06-20 09:24:38,Kapan #2,Civil Contract
16,Tatevik,Petrosyan,2001-01-11,2021-06-20 15:34:48,Vanadzor #3,Armenia Alliance
17,Anna,Avetisyan,1979-01-02,2021-06-20 08:46:56,Vanadzor #3,Civil Contract
18,Mher,Hakobyan,1996-02-05,2021-06-20 14:38:12,Yerevan-Davtashen #2,Civil Contract
19,Armine,Khachatryan,1988-05-22,,,Did Not Vote
20,Edgar,Stepanyan,1983-11-01,2021-06-20 18:56:53,Vanadzor #3,Civil Contract
21,Armen,Karapetyan,1990-11-25,,,Did Not Vote
22,Samvel,Ghukasyan,1946-03-17,,,Did Not Vote
23,Hayk,Tonoyan,1982-08-22,,,Did Not Vote
24,Vardan,Davtyan,1994-06-02,2021-06-20 11:34:48,Gyumri #7,Civil Contract
25,Tamara,Tonoyan,1998-04-21,2021-06-20 17:28:07,Gyumri #7,Civil Contract
26,David,Stepanyan,1941-11-20,2021-06-20 11:14:00,Yerevan-Arabkir #11,Armenia Alliance
27,Sargis,Hovhannisyan,1942-10-26,,,Did Not Vote
28,Mher,Karapetyan,1964-12-25,2021-06-20 11:08:46,Sevan #4,Armenia Alliance
29,Ruzanna,Ghukasyan,1976-07-08,2021-06-20 09:27:22,Abovyan #5,Civil Contract
30,Lusine,Aslanyan,1944-11-10,2021-06-20 19:06:03,Abovyan #5,Armenia Alliance
31,Anna,Karapetyan,1957-03-10,2021-06-20 13:27:11,Vanadzor #3,Civil Contract
32,Ruzanna,Hovhannisyan,1979-10-03,2021-06-20 17:06:03,Ijevan #1,Prosperous Armenia
33,David,Movsisyan,1961-03-16,2021-06-20 13:13:55,Abovyan #5,Civil Contract
34,Vahan,Ghazaryan,1940-03-11,,,Did Not Vote
35,Lusine,Avetisyan,1977-12-13,2021-06-20 15:50:35,Kapan #2,Armenia Alliance
36,Levon,Avetisyan,1959-07-13,,,Did Not Vote
37,Samvel,Stepanyan,1945-02-16,2021-06-20 13:58:54,Ijevan #1,Civil Contract
38,Armen,Davtyan,1947-03-10,,,Did Not Vote
39,Edgar,Hovhannisyan,2000-07-29,,,Did Not Vote
40,Anna,Vardanyan,1962-02-01,2021-06-20 09:05:26,Sevan #4,Armenia Alliance
41,Karine,Harutyunyan,2000-01-31,2021-06-20 11:25:08,Vanadzor #3,Armenia Alliance
42,Nairi,Movsisyan,1946-07-05,2021-06-20 14:36:06,Yerevan-Arabkir #11,Civil Contract
43,Mher,Manukyan,1951-11-19,,,Did Not Vote
44,Sargis,Mkrtchyan,1965-07-26,2021-06-20 16:45:19,Sevan #4,Civil Contract
45,Gor,Asatryan,1966-11-10,,,Did Not Vote
46,Hayk,Manukyan,1950-05-10,,,Did Not Vote
47,Vardan,Avetisyan,1994-04-06,2021-06-20 12:43:40,Vanadzor #3,Civil Contract
48,Karine,Sargsyan,1948-04-12,2021-06-20 16:02:00,Echmiadzin #1,Armenia Alliance
49,Nikol,Manukyan,1954-06-30,2021-06-20 14:27:35,Yerevan-Kentron #4,Armenia Alliance
50,David,Margaryan,1953-05-16,2021-06-20 16:37:35,Yerevan-Davtashen #2,Armenia Alliance
51,Sona,Sargsyan,1967-08-28,2021-06-20 18:55:02,Echmiadzin #1,Civil Contract
52,Gor,Karapetyan,1999-11-01,2021-06-20 16:56:55,Abovyan #5,Civil Contract
53,Sargis,Khachatryan,1955-11-19,,,Did Not Vote
54,Vahan,Aslanyan,1969-10-20,2021-06-20 13:42:55,Gyumri #7,I Have Honor Alliance
55,Ani,Margaryan,1949-09-12,2021-06-20 09:30:14,Gyumri #7,Civil Contract
56,Astghik,Avetisyan,1960-06-01,2021-06-20 14:25:21,Vanadzor #3,Civil Contract
57,Arsen,Manukyan,1971-07-03,2021-06-20 12:53:34,Echmiadzin #1,Armenia Alliance
58,Tigran,Manukyan,1956-01-08,2021-06-20 19:02:06,Sevan #4,Armenia Alliance
59,Astghik,Aslanyan,1968-02-21,2021-06-20 19:07:24,Sevan #4,Civil Contract
60,Vardan,Sargsyan,1979-02-13,2021-06-20 18:34:43,Gyumri #7,Civil Contract
61,Gayane,Hovhannisyan,1999-08-04,,,Did Not Vote
62,Nelli,Hakobyan,1966-12-10,2021-06-20 15:20:25,Vanadzor #3,Civil Contract
63,Levon,Ohanyan,1999-08-27,,,Did Not Vote
64,Edgar,Vardanyan,1966-12-31,2021-06-20 16:19:18,Gyumri #7,Civil Contract
65,Diana,Kostanyan,1998-09-26,2021-06-20 13:43:13,Ijevan #1,Civil Contract
66,Zara,Khachatryan,1999-02-09,2021-06-20 13:40:39,Echmiadzin #1,Civil Contract
67,Arsen,Karapetyan,2000-05-11,2021-06-20 16:09:01,Yerevan-Kentron #4,Civil Contract
